국가별,2016,2017,2018
국가별,경제활동참가율 (%),경제활동참가율 (%),경제활동참가율 (%)
아시아,,,
한국,62.9,63.2,63.1
아르메니아,60.7,60.8,-
아제르바이잔,66,66.2,66.3
바레인,-,-,-
방글라데시,56.1,58.3,-
부탄,-,-,-
브루나이,-,62.7,-
캄보디아,81.7,-,-
키프로스,61.3,61.6,62.4
조지아,68.4,65.8,-
홍콩,61.1,-,-
인도네시아,66.3,67,67.7
이란,43.2,44.2,-
이스라엘,64.1,64,63.9
일본,60,60.5,61.5
카자흐스탄,70.2,70.1,-
쿠웨이트,73.8,-,-
키르기즈스탄,61.5,60.1,59.7
마카오,72.3,70.8,-
말레이시아,67.7,-,68.4
몰디브,57.6,-,-
몽골,58.7,59.6,-
네팔,-,38.5,-
오만,70.8,-,-
파키스탄,-,-,51
필리핀,61.5,59.1,59
카타르,91.8,88.1,88.1
사우디아라비아,55,54.9,55.9
싱가포르,68,67.7,67.7
스리랑카,53.7,-,-
대만,58.7,58.8,59
타지키스탄,-,-,-
태국,68.3,67.5,67.8
터키,52,52.8,53.2
아랍에미리트,80.6,80.8,81
베트남,76.7,76.3,-
예멘,-,-,-
북아메리카,,,
버뮤다,-,-,-
캐나다,65.7,65.8,65.4
멕시코,59.7,59.3,59.6
미국,62.8,62.9,62.9
남아메리카,,,
아르헨티나,-,58.8,59.6
바베이도스,66.4,-,-
벨리즈,64.3,64,-
볼리비아,67.4,68.6,71.8
브라질,-,-,-
케이맨제도,-,-,-
칠레,59.6,59.9,59.8
콜롬비아,69.1,68.9,68.4
코스타리카,57.8,58.2,60.2
쿠바,-,-,-
도미니카공화국,60.3,-,-
에콰도르,67.7,68.2,66.7
엘살바도르,60.6,60.2,59.8
과테말라,60.7,60.9,-
가이아나,-,56,-
온두라스,62,64.4,66.5
자메이카,64.8,65.1,64
니카라과,-,-,-
파나마,62.9,62.5,64
파라과이,70,70.2,-
페루,70.6,70.5,70
푸에르토리코,-,-,-
세인트루시아,72.8,-,-
수리남,-,-,-
트리니다드토바고,59.1,-,-
우루과이,64.6,64.1,63.7
유럽,,,
알바니아,-,58.3,59.4
안도라,-,-,-
오스트리아,61.2,61.2,61.4
벨기에,53.1,53.8,54.2
보스니아-헤르체고비나,43.1,42.3,41.9
불가리아,53.3,55.4,55.3
크로아티아,51.3,51.6,51.2
체코,59.9,60.2,60.6
덴마크,63.6,62.3,62.5
에스토니아,62.9,63.7,63.8
핀란드,58.6,58.9,59.4
프랑스,55.9,55.8,55.8
독일,61,61.2,61.3
그리스,52.2,52.1,51.9
헝가리,55.7,56.3,56.7
아이슬란드,83.8,82.9,81.8
아일랜드,62.2,62,62.2
맨섬,84.2,-,-
이탈리아,49.5,49.8,49.9
라트비아,60.4,60.8,61.4
리투아니아,60.3,60.6,61.6
룩셈부르크,58.9,59.3,59.9
북마케도니아,54.9,55.1,55.2
몰타,56.7,57.9,59.5
몰도바,42.6,42.2,43.3
모나코,48.3,-,-
네덜란드,64.1,64,64.3
노르웨이,64.5,63.7,64.1
폴란드,56.2,56.4,56.3
포르투갈,58.5,59,59.1
루마니아,53.7,54.9,55
러시아,69.5,62.8,62.9
산마리노,75.5,-,-
슬로바키아,60.1,60,59.8
슬로베니아,56.6,58.4,58.8
스페인,58.5,58.1,57.9
스웨덴,72.1,72.7,73.2
스위스,68.6,68.4,68.5
우크라이나,62.2,62,62.6
영국,62.9,62.9,63.1
세르비아,53.3,54,54.5
아프리카,,,
알제리,41.9,36.9,-
이집트,46.7,45,-
가나,-,57,-
마다가스카르,-,-,-
말리,62,-,67.5
모리셔스,59.3,59.4,-
모로코,46.6,45.5,-
나미비아,60.5,-,58.9
니제르,-,-,-
세이셸,69.6,70.3,-
시에라리온,-,-,-
남아프리카공화국,54.7,55.4,55.2
탄자니아,-,-,-
튀니지,-,-,-
잠비아,-,36.1,-
오세아니아,,,
오스트레일리아,64.9,65.2,65.6
쿡아일랜드,69.7,-,-
뉴질랜드,69.8,70.7,70.7
사모아,-,43.3,-
투발루,55.4,-,-
